id,location,latitude,longitude,ref_stn,tg_bm,cd_to_bm,mhws,mhwn,mlwn,mlws,msl,hat,lat,data_start,data_end,data_len,owner,gauge_type,pred_link,data_link,int_number
1048,Te Iro Bay,-41.2352,174.1893,Picton,EX4L,3.365,1.4,0.9,0.4,0,0.7,,,27/10/2016,9/02/2017,0.3,,,,,6479
1049,Lautoka,-17.617,177.4505,Suva,,,,,,,,,,,,,,,,,6707
1050,Tikinui,-36.1229,173.978,Port Taranaki,B5RD,11.042,3.8,2.9,0.8,0.1,2,,,10/02/1981,25/03/1981,0.1,,,,,6380a
1051,Te Whanganui / Port Underwood,-41.3337,174.0981,Lyttelton,,,1.5,1.1,0.6,0.3,0.9,,,7/02/1983,7/03/1983,0.1,,,,,6482
1052,Whakapirau,-36.1558,174.2324,Port Taranaki,,,3.9,3,1.2,0.3,2.1,,,24/02/1981,26/03/1981,0.1,,,,,6379a
1053,Waikawa Harbour,-46.646,169.1438,Bluff,DJH9,12.779,2.5,2.2,0.9,0.5,1.5,,,7/12/1982,9/09/2010,0.3,,,,,6501
1054,Leigh,-36.2883,174.8075,Auckland,EM65,4.33,2.6,2.2,0.8,0.3,1.5,,,29/11/1985,26/01/2017,0.7,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,
1055,Tryphena,-36.3204,175.486,Marsden Point,EBJR,3.379,2.6,2.2,0.9,0.4,1.5,,,7/09/1979,22/02/2009,0.2,,,,,6407
1056,Halfmoon Bay - Oban,-46.897,168.1307,Bluff,ED74,4.014,2.6,2.2,1.1,0.6,1.6,,,5/06/1982,17/03/2009,0.4,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6506c
1057,Pauanui,-37,175.8667,Tauranga,,,,,,,,,,15/05/1983,23/06/1983,0.1,,,,,6413
1058,Riverton/Aparima,-46.3574,168.0136,Bluff,EC48,4.11,2.9,2.4,1.2,0.7,1.8,,,17/04/1982,22/09/2005,0.2,,,,,6505a
1059,Ruapuke Island,-46.7868,168.5047,Bluff,,,2.7,2.3,0.9,0.5,1.6,,,3/02/1982,11/05/1982,0.3,,,,,6503a
1060,Matakana River - Sandspit,-36.3887,174.7301,Auckland,CLQK,4.126,2.9,2.5,0.9,0.5,1.7,,,14/04/1983,15/06/2015,0.7,,,,,6397a
1062,Kaikoura South Basin,-42.4257,173.6812,Lyttelton,F1U2,3.445,1.8,1.3,0.4,0,0.8,,,26/02/1998,20/12/2017,0.3,,,,,
1063,Tiritiri Matangi Island,-36.6061,174.8882,Auckland,EB2L,4.794,2.9,2.5,0.8,0.3,1.7,,,3/11/2016,16/02/2017,0.3,,,,,6398a
1064,Papakura Channel - LPG Terminal,-37.0366,174.8281,Onehunga,,,3.9,3.2,1.1,0.4,2.1,,,,,,,,,,6374a
1065,Port Adventure,-47.0787,168.187,Bluff,BE5P,13.149,2.9,2.4,1.1,0.6,1.8,,,27/09/1998,23/03/1999,0.4,,,,,6508
1066,Small Craft Retreat,-47.2437,167.6448,Bluff,BE5Q,3.762,3,2.5,1.1,0.6,1.8,,,6/10/1998,26/03/1999,0.4,,,,,6508a
1067,Pataua,-35.7139,174.5262,Marsden Point,,,,,,,,,,,,,,,,,
1068,Port Craig,-46.2189,167.3632,Bluff,BUFV,4.509,3.1,2.6,1.3,0.7,1.9,,,2/02/1999,29/06/1999,0.3,,,,,6510c
1069,Kawakaputa Bay,-46.3824,167.8071,Bluff,BGUR,6.776,2.8,2.3,0.9,0.4,1.6,,,29/04/1981,30/06/1999,0.3,,,,,6506a
1070,Auckland,-36.8431,174.7695,,DD1N,5.233,3.36,2.83,1.03,0.48,1.91,3.72,0.06,26/10/1903,30/06/2020,116,Ports of Auckland,Radar,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h070a.zip,6400
1071,Wellington,-41.2843,174.7798,,ABPC,3.565,1.83,1.49,0.75,0.46,1.13,1.93,0.39,18/11/1944,30/06/2020,75,Wellington Regional Council,Float in stilling well,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h071a.zip,6439
1072,Bluff,-46.5977,168.3454,,ABCC,8.62,2.81,2.42,1.06,0.59,1.75,3.09,0.31,28/12/1982,30/06/2020,29,Southport,Milltronic Ultrasonic,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h072a.zip,6504
1073,Tauranga,-37.641,176.1811,,AB55,2.776,1.96,1.65,0.52,0.21,1.1,2.15,-0.06,1/08/1984,30/06/2020,31,Port of Tauranga,,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h073a.zip,6415
1074,Westport,-41.7456,171.5947,,DJMC,7.351,3.21,2.54,0.96,0.28,1.75,3.55,-0.06,4/12/1982,30/06/2020,20,Westport Harbour,,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h074a.zip,6526
1075,Whanganui River Entrance,-39.9446,174.9932,Port Taranaki,EM6B,5.404,3,2.25,1.32,0.62,1.77,3.21,0.43,1/08/1984,1/11/1988,4,,,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h075a.zip,6447
1076,Port Taranaki,-39.0562,174.0344,,AGMH,6.709,3.56,2.75,1.15,0.34,1.96,3.91,-0.03,2/12/1955,30/06/2020,64,Port Taranaki,,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h076a.zip,6366
1077,Nelson,-41.2613,173.2728,,AC4T,5.733,4.28,3.25,1.47,0.53,2.36,4.68,0.11,1/07/1984,30/06/2020,28,Port of Nelson,Radar,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h077a.zip,6458
1078,Gisborne,-38.6737,178.0257,,ACVP,4.091,2.12,1.74,0.79,0.4,1.26,2.22,0.28,1/10/1984,30/06/2020,21,Eastland Port,Radar,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h078b.zip,6425
1079,Marsden Point,-35.8346,174.4902,,DJM9,4.816,2.73,2.31,0.92,0.47,1.6,3.01,0.14,20/10/1975,30/06/2020,49,Northport,,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h398a.zip,6394
1080,Russell,-35.2619,174.1205,Marsden Point,C8ED,4.148,2.5,2,0.9,0.4,1.4,,,13/10/1973,29/05/2013,0.2,,,,,6391
1081,Pouto Point,-36.3626,174.1816,Port Taranaki,B5R9,4.857,3.39,2.7,1.02,0.36,1.87,3.7,0.04,11/03/1981,30/06/2020,18,Northland Regional Council,Bubbler,https://www.linz.govt.nz/sea/tides/tide-predictions,http://www.nrc.govt.nz/Environment/River-and-rainfall-data/River-and-Rainfall-Data/,6377
1082,Tinopai,-36.2574,174.2523,Port Taranaki,F4C6,8.229,3.5,2.8,1,0.2,1.9,,,20/02/1981,5/06/2020,0.4,,,,,6379
1083,Shelly Beach,-36.5703,174.38,Port Taranaki,F4BX,4.529,3.9,3,1.2,0.3,2.1,,,30/05/1970,2/06/2020,0.4,,,,,6378
1084,Doves Bay,-35.1952,174.0349,Marsden Point,EVV8,2.722,2.4,2.2,0.8,0.6,1.5,,,25/03/1992,4/06/1992,0.2,,,,,6390c
1085,Opua,-35.3121,174.1211,Marsden Point,A1E6,4.115,2.61,2.19,0.87,0.44,1.52,2.83,0.21,2/01/1960,30/06/2020,22,Northland Regional Council,,https://www.linz.govt.nz/sea/tides/tide-predictions,http://www.nrc.govt.nz/Environment/River-and-rainfall-data/River-and-Rainfall-Data/,6391a
1086,Kerikeri,-35.218,173.9634,Marsden Point,,,2.3,1.9,0.7,0.2,1.3,,,29/07/1981,20/08/1981,0.05,,,,,6390d
1087,Nugget Point,-46.436,169.7975,Bluff,,,2.4,2.1,1,0.5,1.5,,,9/03/1950,23/03/1950,0.05,,,,,6500
1088,Chalky Island - Sealers Bay,-46.0402,166.5273,Westport,EM5E,7.378,2.5,2,0.9,0.3,1.4,,,6/02/1994,10/03/2014,0.25,,,,,6511b
1089,Small Craft Harbour Islands,-45.9704,166.6457,Westport,EM5M,2.91,2.4,1.9,0.8,0.2,1.3,,,6/02/1994,5/03/2014,0.25,,,,,6511c
1090,Paratutae Island Tsunami,-37.0461,174.5116,Onehunga,EW4T,5.564,3.37,2.71,1.06,0.4,1.9,3.64,0.11,28/07/2010,30/06/2020,10,LINZ/GeoNet,Pressure transducer,https://www.linz.govt.nz/sea/tides/tide-predictions,https://sealevel-data.linz.govt.nz/MNKT/,6373
1091,Gilbert Islands,-45.6006,166.6769,Westport,EBMH,5.575,2.3,1.8,0.7,0.2,1.3,,,30/09/1994,4/04/1996,0.2,,,,,6512b
1092,Front Islands,-45.7401,166.7242,Westport,EBMG,2.322,2.2,1.7,0.6,0.2,1.2,,,1/10/1994,27/03/2019,0.1,,,,,6512a
1093,Nukunonu Island,-9.1677,-171.8058,Apia,,,,,,,,,,18/06/1994,18/07/1994,,,,,,
1094,Waitangi,-43.9463,-176.5612,Lyttelton,EHMW,2.495,0.9,0.69,0.22,0.04,0.48,1.02,0.01,4/10/1993,1/02/2016,9,Pacific Tsunami Warning Center,,https://www.linz.govt.nz/sea/tides/tide-predictions/waitangi-0,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h079a.zip,6536
1095,Moutohora Island,-37.8594,176.9857,Tauranga,F31A,3.79,2,1.6,0.5,0.1,1.1,,,27/05/1994,19/01/2019,0.4,,,,,6417
1096,Coal Island - Fishing Bay,-46.0983,166.6444,Westport,,,2.4,1.8,0.8,0.4,1.4,,,4/03/1994,24/03/1994,0.07,,,,,6511
1097,Napier,-39.4755,176.92,,B3XN,4.837,1.89,1.48,0.44,0.08,0.97,2,-0.02,1/01/1989,30/06/2020,27,Port of Napier,Ultrasonic,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h668a.zip,6432
1098,Omaio Bay - Motunui Island,-37.7882,177.6521,Tauranga,,,1.9,1.6,0.4,0.1,1,,,7/03/1995,5/04/1995,0.1,,,,,6419
1099,Many Islands,-45.7686,166.5192,Westport,EC4N,3.019,2.6,2.2,1.1,0.5,1.6,,,14/10/1994,28/03/2019,0.3,,,,,6512
1100,Tolaga Bay - Cooks Cove,-38.3786,178.3378,Tauranga,BM CC 1/96,4.07,1.7,1.6,0.4,0.3,1,,,20/02/1987,25/03/1996,0.2,,,,,6424
1101,Tutukaka Harbour,-35.6105,174.5258,Marsden Point,EVVK,4.325,2.3,1.9,0.8,0.3,1.4,,,20/08/1995,6/10/2006,0.1,,,,,6393
1102,Port Ohope Wharf,-37.984,177.1082,Tauranga,F4BN,4.334,1.9,1.6,0.4,0.1,1.1,2.17,-0.1,25/06/1998,15/04/2019,21,Bay of Plenty Regional Council,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6418
1103,Rakitu Island (Arid Island),-36.1185,175.4923,Marsden Point,,,,,,,,,,,,0.02,,,,,
1104,Opotiki Wharf,-38.0014,177.2819,Tauranga,,,1.8,1.48,0.42,0.16,0.95,1.98,-0.06,1/08/1990,21/03/2019,26,Bay of Plenty Regional Council,Pressure transducer,https://www.linz.govt.nz/sea/tides/tide-predictions,,6418a
1105,Elaine Bay,-41.0549,173.7733,Nelson,EG06,4.887,2.8,2,1.1,0.4,1.5,,,13/09/1996,5/06/2020,0.8,,,,,6469
1106,Kaikoura Tsunami,-42.4126,173.7027,Lyttelton,EEFL,4.412,2,1.6,0.56,0.24,1.1,2.1,0.14,1/01/1995,30/06/2020,11,LINZ/GeoNet,Pressure transducer,https://www.linz.govt.nz/sea/tides/tide-predictions,https://sealevel-data.linz.govt.nz/KAIT/,6487
1107,Lyttelton,-43.6056,172.7219,,B40V,4.478,2.58,2.04,0.78,0.31,1.43,2.72,0.16,30/06/1903,30/06/2020,96,Lyttelton Port Christchurch,Ultrasonic,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h667a.zip,6490
1108,Whangarei,-35.7574,174.35,Marsden Point,A2Q9,5.182,3.07,2.6,1.05,0.54,1.83,3.38,0.19,1/04/1987,31/01/2007,7,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6395
1110,Snares Islands/Tini Heke - North East Island,-48.0228,166.609,Bluff,,3.187,1.9,1.6,0.7,0.3,1.2,,,9/01/1999,15/02/1999,0.1,,,,,6510b
1111,Solander Island (Hautere),-46.5749,166.9024,Bluff,BEEB,7.097,2.3,2,0.9,0.4,1.4,,,11/01/1999,25/02/1999,0.1,,,,,6510a
1112,Houhora Harbour Entrance,-34.8238,173.1557,Marsden Point,IT_DML_2,3.88,2.6,2.2,0.9,0.5,1.5,,,29/03/1969,15/05/1969,0.1,,,,,6387a
1113,Princes Island,-34.1774,172.0553,Port Taranaki,,,,,,,,,,,,,,,,,
1114,Great Island - North West Bay,-34.1508,172.1414,Port Taranaki,,,2.4,2,0.7,0.4,1.4,,,2/05/2000,17/06/2000,0.1,,,,,6385
1116,Ahipara Bay,-35.1752,173.1171,Port Taranaki,,,3.6,2.9,1.1,0.4,2,,,,,0.01,,,,,6384
1117,Tikao Bay,-43.7976,172.9179,Lyttelton,EC4Y,5.61,2.6,2.2,0.9,0.6,1.5,,,3/03/1953,14/02/2008,0.05,,,,,6491
1119,Astrolabe Roadstead,-40.9667,173.05,Nelson,,,4.8,3.8,1.2,0.2,2.5,,,,,,,,,,6455
1120,Dairy Factory Wharf,-35.0379,173.2566,Marsden Point,,,2.3,1.8,0.6,0.1,1.2,,,3/12/1979,18/12/1979,0.05,,,,,6388b
1121,Awarua Point,-44.2594,168.0523,Westport,,,,,,,,,,,,,,,,,
1123,Tapuaetahi Bay (Boat Harbour),-36.9317,175.8535,Tauranga,EVVD,3.04,1.9,1.6,0.5,0.2,1,,,15/11/1978,16/12/1978,0.1,,,,,6411a
1124,Mansion House Bay - Bon Accord Harbour,-36.4297,174.8187,Auckland,E2KK,3.432,2.9,2.4,0.9,0.4,1.7,,,22/03/1975,17/06/2017,0.3,,,,,6397
1125,Bruce Bay,-43.5833,169.5833,Westport,,,2.3,1.8,0.6,0.2,1.2,,,,,,,,,,6520
1127,Cape Reinga,-34.4214,172.681,Port Taranaki,,,,,,,,,,,,,,,,,
1128,Colac Bay/Oraka,-46.3765,167.8844,Bluff,,,2.3,1.8,0.9,0.4,1.3,,,17/01/1951,31/01/1951,0.05,,,,,6506
1129,Collingwood,-40.6769,172.6815,Nelson,,,4.7,3.8,1.4,0.5,2.6,,,,,,,,,,6453
1130,Coromandel Harbour - Whanganui Island,-36.7879,175.4473,Auckland,DLKH,4.97,2.9,2.5,0.7,0.2,1.6,,,7/10/1976,13/08/2003,0.2,,,,,6405
1131,Croisilles Harbour - Kotiro Point,-41.0907,173.6493,Nelson,,,3.6,3,1.2,0.7,2.1,,,3/06/1987,28/06/1987,0.05,,,,,6460
1132,Cuvier Island,-36.4402,175.7825,Auckland,,,,,,,,,,,,,,,,,
1133,East Cape,-37.6806,178.5445,Tauranga,,,2.1,1.9,0.7,0.5,1.3,,,,,0.05,,,,,6422
1134,Elmslie Bay,-40.9265,173.844,Nelson,F4U6,4.165,2.7,2,1,0.4,1.5,,,11/05/1987,17/01/2020,0.6,,,,,6466
1135,Waimango Point,-36.9892,175.2847,Auckland,,,,,,,,,,,,,,,,,
1136,Greville Harbour,-40.8587,173.8096,Nelson,,,3.8,2.9,1.5,0.6,2.2,,,24/01/1957,22/02/1957,0.1,,,,,6462
1137,Haast River Entrance,-43.8545,169.0534,Westport,,,2.3,1.8,0.6,0.2,1.2,,,,,,,,,,6519
1138,Rawene,-35.392,173.5052,Port Taranaki,EBWC,4.284,3.5,2.7,1,0.1,1.9,,,18/11/1965,17/11/2015,0.2,,,,,6381a
1139,Hokitika River Bar,-42.7242,170.9612,Westport,,,2.3,1.8,0.6,0.2,1.2,,,,,,,,,,6523
1140,Huruhi Harbour,-36.6017,175.7738,Tauranga,EG02,2.734,2.5,1.95,0.83,0.26,1.38,2.6,0.15,29/09/2009,15/03/2011,1,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6410
1141,Waihopai River,-46.4187,168.3363,Bluff,,,,,,,,,,1/01/1993,31/12/2018,26,Southland Regional Council,,,,
1142,Jackson Bay,-43.9732,168.6161,Westport,,,2.35,1.82,0.6,0.04,1.2,2.58,-0.15,1/01/1999,1/01/2010,11,"Bureau of Meteorology (Australia), NIWA",Seaframe acoustic,https://www.linz.govt.nz/sea/tides/tide-predictions,ftp://ftp.soest.hawaii.edu/uhslc/rqds/pacific/hourly/h403b.zip,6518
1143,Cornwallis,-37.0117,174.6074,Onehunga,CLUD,17.102,3.7,3.1,1.2,0.6,2.2,,,10/05/2019,17/06/2019,0.1,,,,,6374
1144,Karamurama Island,-36.9248,175.1592,Auckland,,,,,,,,,,,,,,,,,
1146,Kohukohu,-35.359,173.5467,Port Taranaki,B1F5,4.772,3.6,2.8,1,0.1,1.9,,,4/09/2015,17/11/2015,0.2,,,,,6382
1147,Man o'War Bay,-36.7851,175.1576,Auckland,EX5N,4.857,3.2,2.6,0.9,0.3,1.8,,,4/11/1968,7/03/2017,0.4,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6401
1148,Manawatu River Entrance,-40.4724,175.2376,Port Taranaki,,,2.4,1.8,0.9,0.2,1.3,,,,,,,,,,6445
1149,Mangonui,-34.9884,173.5356,Marsden Point,A068,4.415,2.6,2.2,0.9,0.5,1.6,,,20/11/1973,26/05/2015,0.2,,,,,6389
1150,Matiatia Bay,-36.78,174.9915,Auckland,EX5J,4.518,3.1,2.6,0.9,0.4,1.7,,,11/09/1968,7/03/2017,0.4,,,https://www.linz.govt.nz/sea/tides/tide-predictions,,6401a
1151,Milford (Hauraki Gulf),-36.7644,174.7674,Auckland,,,,,,,,,,16/06/1981,20/07/1981,0.1,,,,,
1152,Motuarohia Island (Roberton Island),-35.2345,174.1612,Marsden Point,BM TP 4,3.607,,,,,,,,23/03/2013,5/04/2013,0.05,,,,,
1154,Mokau River,-38.6998,174.6274,Port Taranaki,,,,,,,,,,,,,,,,,
1155,Current Basin,-40.9714,173.8052,Nelson,,,3.9,3.1,1.4,0.6,2.3,,,,,0.005,,,,,6466a
1156,Burgess Island (Pokohinu),-35.9074,175.1111,Marsden Point,,4.678,2.5,2.1,0.9,0.4,1.5,,,8/02/2009,24/03/2009,0.1,,,,,6396
1157,Motuihe Island,-36.8063,174.9347,Auckland,,,,,,,,,,,,0.002,,,,,
1158,Moturiki Island,-37.6317,176.185,Tauranga,AB5A,6.663,2.01,1.7,0.56,0.21,1.12,2.24,-0.01,27/05/1971,10/06/2019,15,NIWA,Float gauge within stilling well,,,
1160,Murrays Bay,-36.7319,174.7549,Auckland,EX4Y,4.2,3.1,2.6,0.9,0.3,1.7,,,24/11/1975,16/02/2017,0.3,,,,,6399a
1161,Nagle Cove,-36.1431,175.3196,Marsden Point,EBMY,3.305,2.6,2.2,1,0.4,1.5,,,7/12/2008,22/02/2009,0.2,,,,,6406
1162,North Cape (Otou) Tsunami,-34.4156,173.0488,Marsden Point,,,2.44,2,0.79,0.32,1.39,2.66,0.1,24/12/2008,30/06/2019,11,LINZ/GeoNet,Pressure transducer,https://www.linz.govt.nz/sea/tides/tide-predictions,https://sealevel-data.linz.govt.nz/NCPT/,6386a
